                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0682,                0.48495,                 1.0608,                 0.9746,                0.93485,                0.96467,                0.68745,                 1.0946,                0.43965,                 1.1129,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0626,                 0.4823,                 1.0565,                0.98593,                0.92591,                0.96443,                0.68605,                   1.09,                0.44553,                 1.1031,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0623,                0.48014,                 1.0592,                0.97401,                0.93886,                0.96455,                0.68638,                 1.0957,                0.43677,                 1.1072,               0.000614,               0.000614,               0.000614
                     37,                 1.0495,                0.47443,                 1.0547,                0.97308,                0.93856,                0.96624,                0.68839,                 1.0918,                0.43509,                 1.1026,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0551,                0.47256,                 1.0539,                0.98364,                0.93135,                0.96568,                0.68598,                 1.0973,                0.44146,                 1.1094,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0476,                0.47235,                 1.0504,                0.98268,                0.93053,                0.96279,                0.68829,                 1.0881,                0.43419,                 1.1081,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0438,                0.46479,                 1.0507,                0.97489,                0.93727,                0.96513,                0.69168,                 1.0832,                0.42696,                 1.1052,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0386,                0.46152,                 1.0532,                0.98091,                0.93637,                0.96466,                0.68836,                  1.084,                0.42761,                 1.1093,               0.000416,               0.000416,               0.000416
                     42,                  1.038,                0.45555,                 1.0482,                 0.9856,                0.93569,                0.96626,                0.69202,                 1.0821,                0.42536,                  1.098,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0243,                0.45352,                  1.044,                0.98796,                0.93468,                0.96791,                0.69668,                 1.0772,                0.41917,                 1.0943,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0273,                0.44937,                 1.0396,                0.98754,                0.93877,                0.96897,                0.69712,                 1.0796,                0.41725,                 1.1013,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0166,                0.44266,                  1.037,                0.98929,                0.93303,                0.96962,                0.69423,                 1.0846,                0.41702,                 1.1043,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0183,                0.44056,                 1.0435,                0.98055,                0.93941,                0.96777,                0.69246,                 1.0788,                0.41379,                 1.0988,               0.000218,               0.000218,               0.000218
                     47,                  1.012,                0.43908,                   1.04,                0.98656,                0.93643,                0.96885,                0.69885,                 1.0775,                0.41417,                 1.0926,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0114,                0.43546,                 1.0373,                0.98567,                0.94015,                0.96839,                0.69746,                 1.0737,                0.41287,                 1.0953,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0042,                0.43178,                 1.0365,                0.98707,                0.93886,                0.96829,                0.69576,                 1.0729,                 0.4117,                 1.0966,               9.92e-05,               9.92e-05,               9.92e-05
